Numero,Cliente,Saldo,DiaAniversario
106530,41267,44774,13
106531,64263,87066,4
106532,90538,37005,7
106533,8565,26942,25
106534,81167,76884,5
106535,76509,35725,26
106536,1687,92408,27
106537,72668,73578,10
106538,100652,16248,18
106539,27681,35025,3
106540,85421,43948,10
106541,443,20307,8
106542,66249,62675,11
106543,99269,21136,21
106544,9059,27201,4
106545,25306,84451,30
106546,73938,43498,17
106547,23991,33708,12
106548,55428,96724,4
106549,15248,33423,5
106550,72100,92346,30
106551,11100,53153,24
106552,22132,88493,2
106553,53220,33694,30
106554,12325,76865,19
106555,26732,11687,16
106556,23862,92973,16
106557,82660,40847,11
106558,87701,25098,13
106559,28547,59871,5
106560,27201,60569,15
106561,50158,73053,22
106562,28218,65050,9
106563,23843,51504,20
106564,58011,29817,12
106565,77015,59120,17
106566,8532,76324,31
106567,50782,53849,17
106568,48908,24210,16
106569,65482,65062,27
106570,83960,71401,23
106571,32752,13698,12
106572,27551,97462,7
106573,55692,64215,9
106574,15817,91590,22
106575,23127,83359,6
106576,43760,85008,8
106577,53182,6691,7
106578,60125,90776,23
106579,31819,68749,9
106580,36287,6784,16
106581,12501,34660,19
106582,38843,91633,8
106583,39448,51503,18
106584,17610,39655,24
106585,73738,2301,28
106586,42087,85997,3
106587,66917,6134,9
106588,36455,44331,18
106589,100505,22935,25
106590,25644,63180,4
106591,86084,21249,9
106592,26323,31461,20
106593,13038,73069,13
106594,11565,51485,13
106595,77464,14521,21
106596,19882,25405,2
106597,79667,69933,12
106598,85787,61674,5
106599,61684,96799,27
106600,85189,68572,6
106601,60187,76400,27
106602,86513,61284,11
106603,45937,40080,27
106604,2471,48055,14
106605,21398,85179,28
106606,46744,68984,30
106607,64308,78088,15
106608,23267,67253,25
106609,1363,16930,25
106610,29123,45458,4
106611,32125,9195,5
106612,9093,45963,15
106613,36612,37558,2
106614,75943,77560,23
106615,88990,68513,2
106616,6,71549,13
106617,42730,28312,10
106618,14102,85022,10
106619,27481,38457,7
106620,93207,16945,9
106621,56433,2183,28
106622,81242,28946,12
106623,31260,74865,11
106624,64146,75394,7
106625,81073,68676,26
106626,2644,37833,26
106627,10822,69235,31
106628,76199,4608,18
106629,1542,11213,14
106630,100172,99431,23
106631,81000,85794,9
106632,101905,66797,25
106633,99987,140,19
106634,96882,92452,31
106635,92340,52516,7
106636,98828,57178,1
106637,8740,21839,10
106638,69685,32832,17
106639,37549,80170,26
106640,15329,16245,29
106641,71783,13913,8
106642,14766,3650,11
106643,58693,43208,23
106644,101797,62669,28
106645,40320,19553,12
106646,2448,19448,3
106647,23569,75280,20
106648,94535,69467,15
106649,74304,64827,17
106650,42716,59879,17
106651,80167,30405,31
106652,63179,35231,12
106653,70916,97492,24
106654,94165,38428,28
106655,22039,78205,25
106656,91410,38502,15
106657,75585,91704,2
106658,101825,99307,4
106659,75128,82200,11
106660,89514,58793,18
106661,58416,23671,30
106662,61610,29459,6
106663,95545,83610,14
106664,28713,81422,6
106665,77806,93518,13
106666,65363,22804,28
106667,55889,38405,16
106668,44182,12536,17
106669,41900,32342,12
106670,68588,10185,21
106671,72471,87901,31
106672,50746,55490,3
106673,3916,71068,4
106674,4524,80846,21
106675,33756,54898,20
106676,98783,49912,30
106677,96928,49347,24
106678,53001,67129,2
106679,85969,72011,21
106680,47230,67889,28
106681,21418,94806,28
106682,97419,11036,9
106683,9731,43326,14
106684,43947,33597,2
106685,24297,83210,7
106686,14506,90121,24
106687,58100,4567,16
106688,70213,10026,2
106689,71030,52238,27
106690,1310,84430,19
106691,55582,71074,4
106692,85131,99547,29
106693,6552,64872,2
106694,9466,44048,28
106695,16420,16233,24
106696,35271,24189,1
106697,55562,14192,29
106698,5189,97801,9
106699,20254,30083,27
106700,45074,64484,12
106701,100026,14933,23
106702,13160,99874,5
106703,43398,13159,27
106704,23020,95654,5
106705,16916,16722,20
106706,68144,63653,3
106707,72955,86520,23
106708,24626,31761,6
106709,57862,10445,3
106710,23390,28258,1
106711,43836,36270,30
106712,62495,82264,25
106713,44748,49135,5
106714,2635,92548,18
106715,85032,98304,31
106716,98298,99690,8
106717,4153,41707,16
106718,63225,30608,24
106719,79785,21695,11
106720,27848,24398,19
106721,62544,73674,18
106722,88460,77525,19
106723,7677,27673,12
106724,45124,31478,9
106725,96659,1844,15
106726,95516,65185,13
106727,59962,35616,18
106728,88888,91343,29
106729,79534,42191,1
106730,58999,39247,19
106731,37106,81085,16
106732,3688,52496,21
106733,69978,26136,19
106734,24759,99000,23
106735,82564,3585,26
106736,90200,33279,23
106737,23194,74591,25
106738,21317,96535,2
106739,3717,64357,25
106740,98337,69566,25
106741,95917,49540,11
106742,1536,81092,27
106743,95281,57011,11
106744,4466,50563,17
106745,37636,70772,11
106746,22948,69474,31
106747,81766,56897,2
106748,25588,4931,23
106749,95475,29779,22
106750,27360,20206,28
106751,36764,55792,11
106752,98603,18535,25
106753,19933,87581,20
106754,37489,87215,9
106755,71305,70646,28
106756,62858,96636,16
106757,25386,38741,18
106758,553,84942,10
106759,35953,73903,6
106760,14176,41088,2
106761,8036,23883,13
106762,60265,19579,8
106763,52770,69488,17
106764,61321,24173,30
106765,35329,22768,30
106766,86272,45114,20
106767,97840,78946,16
106768,39731,12716,8
106769,34712,57684,25
106770,37746,90644,24
106771,25288,31336,16
106772,50337,14429,10
106773,93597,46124,21
106774,27052,96308,20
106775,83651,152,19
106776,91297,81007,6
106777,48163,66358,14
106778,89202,19953,31
106779,35680,12893,22
106780,1815,8242,28
106781,37460,74669,20
106782,46563,57099,28
106783,75112,69548,21
106784,71546,40758,7
106785,70014,19534,3
106786,32355,36216,20
106787,38774,32739,12
106788,69540,42368,9
106789,97257,53273,26
106790,11930,99502,8
106791,98734,10494,22
106792,81837,44762,24
106793,88421,64932,4
106794,33716,70795,7
106795,98082,97323,26
106796,80408,30531,6
106797,22755,524,9
106798,100476,55670,10
106799,83583,80945,27
106800,17048,672,23
106801,65719,12242,30
106802,92693,5369,28
106803,55998,33438,31
106804,92667,60985,6
106805,6217,13200,23
106806,89892,91185,27
106807,99467,92983,21
106808,46882,4133,10
106809,88833,69637,2
106810,29895,441,7
106811,5011,27023,22
106812,1251,54174,24
106813,33572,58666,3
106814,89015,8619,13
106815,68438,72007,13
106816,3318,36615,28
106817,43313,15749,11
106818,51309,52064,17
106819,75068,88609,9
106820,54403,28609,6
106821,53409,83200,13
106822,37051,14459,28
106823,87223,1108,29
106824,84392,47324,30
106825,87135,56768,29
106826,16239,20017,20
106827,34790,61251,14
106828,45188,57313,9
106829,76885,53420,13
106830,18969,69600,18
106831,16312,24095,30
106832,11779,57247,18
106833,97145,19022,23
106834,33678,76641,28
106835,52004,64365,23
106836,33043,16464,13
106837,10360,78230,27
106838,67393,965,7
106839,93074,99992,19
106840,35677,52132,7
106841,91786,19604,18
106842,95114,628,5
106843,31198,16133,17
106844,86151,39370,21
106845,81705,42813,20
106846,53688,67341,17
106847,44408,2984,20
106848,33723,43194,21
106849,94557,56081,15
106850,86101,76583,9
106851,54855,9835,22
106852,35485,72329,16
106853,96527,77805,23
106854,56931,98622,23
106855,55082,8519,10
106856,62953,53003,30
106857,64669,5823,30
106858,77067,50645,30
106859,6929,7149,20
106860,70585,40444,13
106861,47264,29276,24
106862,81935,24030,7
106863,85453,43692,10
106864,28845,12605,12
106865,35827,26910,5
106866,3239,21475,4
106867,8730,29386,17
106868,17930,50793,25
106869,98798,84067,25
106870,5590,67231,6
106871,23351,24175,4
106872,3658,99280,2
106873,70290,21703,22
106874,99298,8628,22
106875,23614,1819,14
106876,33607,7045,7
106877,30360,30479,18
106878,27599,49704,26
106879,25854,57295,29
106880,92913,54123,7
106881,68356,61249,18
106882,30289,95998,30
106883,98754,69493,23
106884,94181,60062,25
106885,32041,58089,18
106886,84814,24121,26
106887,72522,98302,20
106888,57401,55159,11
106889,101010,39030,23
106890,57574,81431,6
106891,31940,74368,14
106892,63772,37019,7
106893,1604,99934,30
106894,88354,38824,17
106895,87074,76093,3
106896,422,21763,9
106897,37952,32686,26
106898,10484,94654,5
106899,31354,83463,10
106900,64827,65117,13
106901,50370,92627,2
106902,13641,14781,14
106903,70695,78410,16
106904,41847,27024,27
106905,74446,65902,23
106906,31624,55996,9
106907,84157,20844,17
106908,32850,52293,11
106909,86702,14451,12
106910,86786,62891,21
106911,15426,42863,13
106912,93464,4122,20
106913,16463,39626,4
106914,16713,34599,23
106915,42805,40488,15
106916,34274,85677,18
106917,27733,1729,16
106918,36593,85624,22
106919,3950,23516,26
106920,14592,90702,27
106921,14036,6582,16
106922,49810,56436,1
106923,92886,2870,17
106924,38874,13257,13
106925,99921,27162,14
106926,9841,87112,24
106927,29401,10610,10
106928,88182,49320,3
106929,44219,44727,27
106930,88930,67941,9
106931,86205,50631,4
106932,11918,28875,7
106933,42484,65501,4
106934,17438,76590,20
106935,97378,40255,31
106936,37493,81304,16
106937,25613,87696,2
106938,75955,91631,27
106939,32811,52877,2
106940,52679,8298,7
106941,64132,36098,6
106942,74606,278,14
106943,58945,62488,28
106944,85470,73318,7
106945,55633,23563,3
106946,62085,58924,7
106947,42539,98012,9
106948,78763,42141,25
106949,88022,81076,19
106950,40006,65236,17
106951,13257,54283,31
106952,44770,73785,22
106953,3772,70326,11
106954,27470,61374,3
106955,99483,60846,5
106956,33946,13810,7
106957,72369,61461,20
106958,20140,29869,13
106959,77320,18959,24
106960,53034,69569,7
106961,62201,85866,18
106962,42625,98805,11
106963,5807,59301,30
106964,21244,64254,27
106965,66103,77556,10
106966,86684,7820,1
106967,54953,97101,12
106968,47302,34521,31
106969,59777,53666,3
106970,28684,37450,8
106971,51169,23987,8
106972,67044,49038,8
106973,71256,29979,7
106974,69347,69310,13
106975,73698,92689,17
106976,97882,7488,18
106977,47000,3419,22
106978,10881,17950,24
106979,38331,15213,19
106980,87268,22284,4
106981,68955,71101,28
106982,24513,87482,27
106983,20702,57804,6
106984,80948,42387,18
106985,32426,18944,15
106986,89439,35515,30
106987,35765,94070,12
106988,24755,55962,16
106989,25435,38123,19
106990,70646,39991,10
106991,34732,37343,9
106992,97005,983,25
106993,93901,52913,2
106994,96281,51297,30
106995,88046,65433,16
106996,55375,95072,26
106997,75467,63324,2
106998,87586,12615,4
106999,50876,91041,17
107000,67378,46306,11
107001,46828,26538,5
107002,77921,38353,13
107003,62250,80073,27
107004,64044,30966,27
107005,93369,45726,15
107006,11655,5172,22
107007,68354,99877,1
107008,78487,7487,20
107009,89609,58896,13
107010,7511,80642,25
107011,1665,48445,20
107012,45618,7279,1
107013,3947,18595,29
107014,43577,88803,10
107015,47312,84335,12
107016,35999,26502,24
107017,7174,96216,7
107018,72152,30981,2
107019,37075,38278,27
107020,60252,89047,24
107021,69865,70860,15
107022,20245,36762,28
107023,5264,23649,16
107024,52945,1609,30
107025,91861,73242,23
107026,81614,72114,25
107027,24804,32248,18
107028,95285,39153,13
107029,61515,46259,21
107030,38916,7943,20
107031,50336,57804,7
107032,84644,53819,9
107033,48572,72739,1
107034,50394,49082,6
107035,26742,88316,13
107036,88571,74941,8
107037,65759,57776,2
107038,89279,16882,22
107039,67498,58775,18
107040,50628,59619,29
107041,22295,11550,5
107042,91548,16395,1
107043,47431,43813,27
107044,19155,10947,8
107045,38869,62306,2
107046,8785,67283,14
107047,94465,76871,15
107048,3338,57332,10
107049,3739,15452,12
107050,16472,43161,31
107051,45901,84490,4
107052,27258,27865,31
107053,5568,84360,22
107054,87568,91752,2
107055,86981,72193,28
107056,44713,37990,30
107057,85826,38089,8
107058,34107,37367,23
107059,81387,92244,16
107060,716,3504,14
107061,20296,39211,27
107062,54484,83697,11
107063,24250,51127,22
107064,64789,91807,29
107065,9449,96953,2
107066,93759,37900,9
107067,8513,96438,6
107068,70316,42867,3
107069,90720,32667,22
107070,32862,39146,10
107071,44730,92010,22
107072,23356,26928,9
107073,62972,82499,25
107074,49927,81555,17
107075,91245,7030,13
107076,67593,16966,17
107077,23636,21784,2
107078,13037,94193,10
107079,65543,32424,18
107080,39940,34347,11
107081,25674,93701,29
107082,99785,46898,30
107083,67422,5814,21
107084,53133,42062,14
107085,47453,18438,4
107086,81893,38867,5
107087,16583,9322,22
107088,99397,98953,14
107089,13097,83137,3
107090,18260,88442,28
107091,50792,31402,18
107092,100813,4535,22
107093,74058,47165,1
107094,14546,36423,11
107095,4029,22825,30
107096,8747,35782,6
107097,34343,87513,6
107098,2056,72194,14
107099,64825,43279,25
107100,101351,73849,6
107101,61791,90699,29
107102,86336,13072,10
107103,5855,85670,15
107104,38397,5854,30
107105,3722,46711,26
107106,72686,22817,5
107107,88122,94428,27
107108,93955,9665,22
107109,72860,41577,8
107110,58791,73451,18
107111,29531,86540,29
107112,42047,81907,13
107113,44569,12819,10
107114,15038,81439,31
107115,61158,90687,18
107116,52218,19253,17
107117,73874,38761,21
107118,32978,27290,28
107119,26917,76346,19
107120,81838,30297,21
107121,97468,37089,31
107122,93313,96984,31
107123,79493,6210,11
107124,71006,22701,24
107125,1251,78429,12
107126,83876,47963,6
107127,63502,39959,19
107128,15748,96305,28
107129,35542,34275,10
107130,53142,53768,3
107131,58254,22617,18
107132,1720,7558,27
107133,41654,36865,15
107134,97240,62361,23
107135,29140,55572,3
107136,68466,79397,14
107137,77180,22230,20
107138,69998,13514,9
107139,84440,23390,30
107140,54379,95173,23
107141,59967,9651,5
107142,35417,66191,31
107143,25302,55729,1
107144,56685,75312,23
107145,59614,84508,20
107146,59605,38545,31
107147,55271,63028,2
107148,79250,7529,27
107149,64393,65222,12
107150,1599,83223,23
107151,12010,5171,16
107152,94015,39579,30
107153,97252,50897,19
107154,48364,28366,24
107155,16989,15327,1
107156,8549,85118,12
107157,59393,55953,3
107158,99993,20519,12
107159,95132,63498,8
107160,11036,74569,19
107161,21647,99955,6
107162,62410,59470,31
107163,19848,28360,3
107164,3357,97665,4
107165,56551,85997,18
107166,2447,6892,17
107167,30332,20212,6
107168,36641,69913,1
107169,63550,39250,9
107170,7706,46430,31
107171,30121,89093,28
107172,52857,26149,7
107173,36932,80383,21
107174,9014,73170,3
107175,11828,87115,2
107176,26372,29397,16
107177,94113,33073,9
107178,35845,71000,22
107179,92742,32959,26
107180,37535,76843,12
107181,64095,96700,11
107182,72846,23717,14
107183,99332,72478,18
107184,74857,69071,11
107185,62515,30148,18
107186,30045,7372,7
107187,79360,57964,3
107188,95229,30466,7
107189,3962,40198,13
107190,63031,78666,11
107191,60358,68406,24
107192,68268,27921,15
107193,43898,60702,6
107194,60010,76150,30
107195,74164,40346,20
107196,40764,29815,27
107197,29191,96937,23
107198,45314,73780,17
107199,3133,82271,14
107200,84395,36444,28
107201,16778,29029,4
107202,71765,87984,19
107203,62223,98865,28
107204,56952,24234,19
107205,21573,70022,16
107206,21524,45334,24
107207,14042,18327,17
107208,23686,63616,15
107209,76354,44718,18
107210,1060,60670,17
107211,52944,76675,24
107212,77350,42912,2
107213,80686,966,13
107214,56210,78254,18
107215,23578,31815,3
107216,100795,90219,24
107217,10850,80595,11
107218,86149,62017,15
107219,53967,20962,24
107220,96535,96826,19
107221,19206,94105,24
107222,53336,78177,27
107223,66093,43988,16
107224,65218,5120,28
107225,44874,8180,31
107226,93919,77657,13
107227,41436,40290,20
107228,93064,99216,11
107229,71116,6319,10
107230,27143,26778,23
107231,34103,95076,15
107232,23545,8757,8
107233,11016,65393,18
107234,89695,80642,27
107235,19721,33378,14
107236,79500,89735,17
107237,57351,90898,1
107238,87698,54167,26
107239,74902,87574,8
107240,88718,70166,8
107241,19680,56379,18
107242,82384,87479,5
107243,81317,94940,21
107244,71383,75232,20
107245,10554,84306,18
107246,44034,46817,6
107247,6818,19779,6
107248,25710,51880,5
107249,3338,96463,26
107250,29520,24705,7
107251,53034,5689,18
107252,71460,59670,16
107253,33754,14150,18
107254,5091,94186,19
107255,82459,53658,13
107256,3132,44806,17
107257,36990,39742,15
107258,37093,65872,29
107259,49182,4014,18
107260,14828,36381,13
107261,38185,42649,3
107262,41758,95330,24
107263,62384,99955,21
107264,59013,66603,6
107265,33484,21352,11
107266,20805,5170,3
107267,49480,25287,25
107268,55078,20812,12
107269,6058,37482,27
107270,43719,34539,28
107271,85882,23205,2
107272,71378,38095,16
107273,98718,47329,10
107274,79297,50033,15
107275,15098,35446,15
107276,96828,25957,17
107277,43404,78407,1
107278,33214,11857,13
107279,39712,36088,23
107280,28458,57587,11
107281,19969,77046,27
107282,77858,88078,12
107283,5491,54657,13
107284,34700,81294,20
107285,91856,4108,23
107286,80064,60471,12
107287,5125,14357,28
107288,73648,93297,30
107289,61313,100,29
107290,50245,28702,13
107291,79521,65209,24
107292,93973,67488,27
107293,48305,88821,6
107294,95508,67723,29
107295,28955,33112,7
107296,55229,93772,19
107297,97521,48538,14
107298,48316,62694,1
107299,87770,29489,11
107300,37125,31855,30
107301,48421,35560,14
107302,76157,12635,10
107303,101268,20586,11
107304,96691,68312,18
107305,48150,54101,23
107306,25781,99902,16
107307,75384,68789,21
107308,90171,28905,31
107309,37389,42842,27
107310,5541,1138,14
107311,15617,39133,3
107312,8900,90960,20
107313,92550,67493,19
107314,83326,76509,24
107315,101623,20605,3
107316,46738,78377,11
107317,63698,27054,10
107318,15257,14885,29
107319,47608,11116,22
107320,19089,65403,15
107321,32210,42424,5
107322,28310,17337,16
107323,40994,62603,3
107324,3613,7754,11
107325,12945,26626,2
107326,69122,56964,29
107327,40867,40342,28
107328,76604,27943,25
107329,96257,26290,24
107330,70751,62125,25
107331,40585,54367,20
107332,26595,1493,7
107333,83756,34622,9
107334,32924,95132,20
107335,34699,85134,27
107336,85919,63470,13
107337,68265,93110,25
107338,93906,67361,16
107339,74891,4133,26
107340,99712,15055,27
107341,51427,82822,13
107342,45153,42897,1
107343,80207,30569,16
107344,75101,29922,22
107345,60633,53718,4
107346,62966,13618,3
107347,98841,84324,23
107348,1967,74064,16
107349,38818,52200,21
107350,35090,31897,28
107351,43551,19118,22
107352,52608,26834,8
107353,42351,76083,29
107354,86369,55863,24
107355,20064,70182,19
107356,48662,45267,12
107357,61013,21558,24
107358,87409,32033,29
107359,70132,41811,21
107360,59698,46682,21
107361,3259,61040,31
107362,35758,31238,25
107363,97689,51823,26
107364,53222,55837,28
107365,33004,80274,16
107366,39749,16027,19
107367,49589,93565,17
107368,6117,67044,20
107369,31715,28863,14
107370,68780,21908,11
107371,45855,13126,2
107372,91078,79973,24
107373,62490,15005,23
107374,93581,43859,1
107375,55850,83010,23
107376,72022,23315,6
107377,70027,72137,30
107378,67887,93740,24
107379,69275,78189,26
107380,59525,67360,4
107381,73240,8781,16
107382,94679,16771,3
107383,52861,11028,31
107384,100894,4867,9
107385,48881,15169,9
107386,44407,12029,14
107387,51481,19527,18
107388,35789,38934,21
107389,9595,88177,18
107390,75039,14110,31
107391,72795,82983,12
107392,75148,31719,22
107393,11873,31207,16
107394,82790,40332,2
107395,59453,20398,27
107396,92663,32174,21
107397,22289,76388,30
107398,63469,1114,26
107399,87127,60874,2
107400,85454,42499,17
107401,49416,83267,24
107402,62924,76784,24
107403,18982,30404,23
107404,39825,47910,23
107405,60421,2583,1
107406,85987,2415,27
107407,8298,98589,13
107408,76841,45861,2
107409,639,95682,21
107410,17888,23638,29
107411,50139,21754,14
107412,21518,35364,3
107413,32604,47330,19
107414,9779,32875,4
107415,31216,65564,4
107416,3647,43846,5
107417,73543,70618,10
107418,74811,91474,23
107419,53389,89656,8
107420,237,32191,15
107421,78340,47420,29
107422,5530,75114,28
107423,87163,8104,29
107424,25830,31305,10
107425,95726,45075,1
107426,1253,53405,12
107427,4381,70191,6
107428,80616,80904,29
107429,30333,71963,26
107430,11771,43417,30
107431,14324,46878,9
107432,58603,16546,12
107433,6608,68604,17
107434,53079,10625,30
107435,11641,73169,11
107436,8158,86087,20
107437,32639,37401,6
107438,77464,87666,23
107439,54099,21188,21
107440,60382,80176,5
107441,91129,36845,2
107442,80657,51710,19
107443,90245,63023,30
107444,19314,66148,4
107445,10138,94646,20
107446,94752,52675,2
107447,5557,97512,13
107448,13020,37893,21
107449,41267,68247,9
107450,61011,60924,2
107451,61880,31335,15
107452,72411,25845,26
107453,12149,84947,23
107454,68113,40894,16
107455,50267,2437,24
107456,54299,30751,7
107457,75190,62790,4
107458,76449,59707,4
107459,87839,47290,25
107460,69775,69139,15
107461,83301,91608,17
107462,82021,30985,19
107463,58933,22058,7
107464,41786,93044,2
107465,20925,35043,1
107466,37617,35146,10
107467,10353,8854,19
107468,65207,43524,2
107469,40740,93423,5
107470,19962,27460,21
107471,5515,8579,7
107472,92975,61986,30
107473,41208,76103,29
107474,53906,67551,8
107475,36685,39098,20
107476,65362,19529,23
107477,38300,97979,7
107478,55160,90949,10
107479,46826,80991,31
107480,78451,11261,16
107481,45057,45062,12
107482,91861,76649,26
107483,88868,48510,8
107484,90166,15660,9
107485,60322,34587,12
107486,59170,78863,6
107487,48503,95839,18
107488,86586,39757,11
107489,95276,61294,2
107490,73422,68306,22
107491,77445,26160,28
107492,74191,19387,29
107493,76187,43214,14
107494,62122,75469,30
107495,54257,77292,2
107496,39502,39474,22
107497,92739,48150,8
107498,22636,53351,22
107499,94115,28817,29
107500,48334,63085,3
107501,91688,54499,26
107502,54827,16751,10
107503,46786,28475,17
107504,328,58587,15
107505,79998,37387,9
107506,14096,16667,19
107507,34931,71575,1
107508,47153,43056,18
107509,87429,63502,14
107510,17031,71592,31
107511,85608,144,24
107512,31297,39666,20
107513,75604,58951,28
107514,73062,41777,7
107515,9532,52743,14
107516,20932,70738,3
107517,93435,35530,17
107518,91455,23105,14
107519,21571,33794,31
107520,75079,82203,21
107521,37935,77745,13
107522,17789,23110,20
107523,11482,40230,22
107524,45050,79536,19
107525,50204,21713,11
107526,42822,73910,3
107527,75826,92210,8
107528,5747,73640,9
107529,86121,84244,15
107530,51501,66585,28
107531,97861,21032,20
107532,87498,33948,19
107533,68753,6328,30
107534,29000,40341,26
107535,36486,36421,10
107536,3695,66995,27
107537,93146,24384,21
107538,60968,38885,5
107539,44445,79533,9
107540,58491,81737,26
107541,11644,36179,30
107542,29293,36678,7
107543,100876,32410,21
107544,69669,51786,26
107545,80071,11261,4
107546,70961,70383,13
107547,42768,10526,5
107548,92102,96946,7
107549,56368,46531,29
107550,90017,34203,11
107551,25772,83049,30
107552,11212,67247,17
107553,24971,85095,29
107554,87476,3764,24
107555,80821,66400,23
107556,7053,69390,1
107557,46769,58920,15
107558,78434,48458,14
107559,51222,80247,6
107560,85788,52077,9
107561,56064,65105,4
107562,24712,39647,1
107563,61522,88043,7
107564,89113,42957,27
107565,86101,67257,23
107566,31751,38303,20
107567,9224,21020,23
107568,66691,2334,22
107569,1145,12743,20
107570,101568,72609,26
107571,28507,43256,9
107572,57692,2356,15
107573,35641,77759,1
107574,97290,39482,30
107575,32208,24845,31
107576,14600,13219,30
107577,65452,84561,17
107578,26997,85889,25
107579,65515,72205,19
107580,56606,41438,23
107581,14126,85561,15
107582,85274,28435,9
107583,65038,41379,11
107584,10710,66070,31
107585,46603,12613,5
107586,39372,39241,22
107587,52763,34521,26
107588,81439,94701,23
107589,101330,82381,16
107590,97389,59498,11
107591,16717,74214,9
107592,50838,53927,1
107593,27453,55042,12
107594,10210,47969,13
107595,28928,10974,6
107596,88578,37197,5
107597,90693,245,20
107598,23079,39217,26
107599,25570,17286,8
107600,25639,58437,18
107601,3083,9596,6
107602,99664,52901,17
107603,59049,93730,20
107604,67647,69358,3
107605,49676,72492,28
107606,48522,63271,5
107607,67799,35147,18
107608,33877,5443,3
107609,49034,4553,6
107610,28325,7624,13
107611,63599,25035,7
107612,13863,7424,3
107613,6963,14234,2
107614,61456,52513,10
107615,5478,66303,8
107616,31201,16642,30
107617,65897,8293,13
107618,10203,76589,7
107619,6051,62040,1
107620,64541,89697,11
107621,16134,76899,25
107622,6825,93071,30
107623,61480,93893,5
107624,27002,82884,1
107625,94864,75100,26
107626,12462,61194,17
107627,85917,97342,27
107628,4847,85276,27
107629,66003,10042,16
107630,11966,6097,5
107631,79938,58194,22
107632,47980,17292,13
107633,15239,54729,6
107634,74971,38837,13
107635,74202,67552,24
107636,2715,17936,15
107637,47794,2050,19
107638,76760,17344,6
107639,42277,68350,1
107640,58981,22822,12
107641,95585,53859,24
107642,74811,56477,22
107643,33990,86586,15
107644,34440,27296,27
107645,37734,15381,1
107646,9224,28385,29
107647,51745,23279,7
107648,83179,62699,15
107649,18943,95882,27
107650,71007,86005,3
107651,96707,12350,10
107652,44028,39981,3
107653,29968,30570,17
107654,37521,92518,31
107655,91883,49337,13
107656,76059,7432,29
107657,55278,38817,20
107658,85209,42587,19
107659,48649,70421,14
107660,6817,81323,21
107661,86748,31061,22
107662,23640,58245,13
107663,71396,14135,20
107664,42346,456,19
107665,31942,66114,18
107666,14196,12429,4
107667,64609,31300,11
107668,11340,61342,29
107669,31439,85353,31
107670,100751,53948,11
107671,64959,52463,9
107672,2965,58334,19
107673,14590,69585,15
107674,61071,98735,20
107675,90623,87790,29
107676,33714,25344,8
107677,69607,12037,2
107678,5310,94944,10
107679,48030,39010,10
107680,806,89932,12
107681,49307,26038,13
107682,26691,38613,8
107683,14765,68682,26
107684,11789,85896,13
107685,48961,35062,17
107686,80504,73440,27
107687,99462,7986,4
107688,10334,90640,10
107689,3107,59333,28
107690,101729,16400,6
107691,86269,20099,11
107692,80442,64410,12
107693,76418,83497,13
107694,20205,97310,28
107695,37485,99187,10
107696,69482,6273,28
107697,12551,92700,29
107698,35933,97645,9
107699,27825,14506,1
107700,59676,98451,8
107701,9396,30205,4
107702,47021,5606,22
107703,12094,366,16
107704,34269,53015,31
107705,56764,92252,14
107706,49764,20934,13
107707,49144,36468,15
107708,2690,62043,9
107709,37320,9873,5
107710,50293,7329,10
107711,30375,89132,5
107712,35993,31743,31
107713,66896,15115,3
107714,89771,79888,17
107715,68159,36791,23
107716,78806,40530,8
107717,100390,88893,3
107718,13792,20778,8
107719,51917,99455,15
107720,80749,51044,20
107721,13992,28256,12
107722,42453,35331,18
107723,12689,37454,16
107724,80058,47942,8
107725,41352,86976,10
107726,9737,57836,15
107727,210,96014,27
107728,24905,98680,15
107729,74042,50696,4
107730,96394,64266,27
107731,41184,73357,22
107732,31544,90577,22
107733,5006,63190,11
107734,13551,88611,30
107735,72265,7110,5
107736,34821,83316,17
107737,14032,4750,18
107738,53911,9874,19
107739,11501,8253,16
107740,1598,68216,9
107741,87657,58832,3
107742,94994,2408,13
107743,25231,93686,22
107744,38829,35619,11
107745,34365,61949,12
107746,75363,82916,21
107747,62350,2332,16
107748,11062,61758,24
107749,19128,4890,21
107750,54101,65161,30
107751,4841,4436,19
107752,97169,48809,30
107753,62550,41347,30
107754,52292,30090,12
107755,74439,45696,1
107756,69367,46161,16
107757,93803,53826,7
107758,38104,47237,3
107759,22155,90618,16
107760,58711,55802,13
107761,66035,1305,31
107762,59878,44095,26
107763,95631,94424,25
107764,33364,66454,18
107765,97424,73284,1
107766,17827,46902,9
107767,69550,55507,28
107768,109,73097,15
107769,74672,12604,27
107770,45084,6965,23
107771,90550,90588,8
107772,87658,35145,18
107773,96175,7429,31
107774,37699,10210,18
107775,70582,74737,7
107776,46873,83165,26
107777,76025,1112,4
107778,58323,92959,27
107779,23625,22254,5
107780,46077,12681,31
107781,100462,6810,10
107782,40044,76487,29
107783,64260,53595,10
107784,47073,12232,6
107785,89114,72283,9
107786,36366,80715,24
107787,91429,48596,21
107788,47018,27899,13
107789,82857,74316,8
107790,24907,59635,5
107791,30504,47545,7
107792,76702,85898,23
107793,80332,49834,25
107794,62154,32960,8
107795,65407,85019,11
107796,25338,71081,9
107797,82720,95310,27
107798,4904,58684,12
107799,24623,75045,8
107800,57713,3732,9
107801,77780,19965,5
107802,33580,34721,4
